name,latitude,longitude,phone,address
VENKATA LAKSHMI AGENCIES,17.393765,82.664275,9866176119,NH-5 NAKKAPALLI MANDAL-LOCK NO.T1 VEMPADU VISAKHA DIST ANDHRA PRADESH
GAYATRI AGENCIES,28.59705,77.1356,9837015258,GOPINATH BAZAR DELHI CANTT. NEW DELHI
AJIT MOTORS,17.681131,82.982275,9394431313,INDIAN OIL DEALERS -LOCK NO.T1 21 ANAKAPALLI ANDHRA PRADESH
SRI SATYAMAMBA FILLING STATION,28.54315,77.066567,9312272457,VILLAGE BHARTHAL F-28 PUSHPANJALI DWARKA LINK ROAD NEW DELHI.
BADUS PETRO,27.1962667,77.523425,9414225743,JATOLI GHANA VILLAGE JATOLI GHANA DISTT. BHARATPUR RAJASTHAN
BANSAL SERVICE STATION,27.231339,78.167616,9219610576,NH-2 AGRA FIROZABAD ROAD ETMADPUR AGRA AGRA
BHAGWAN FILLING STATION,28.854299,77.124594,9312832339,SINGHU BORDER G.T. KARNAL ROAD DELHI-110040 DELHI
BHARAT SERVICE STATION,28.57078333,77.16345,9.19E+11,SECTOR 8 R.K. PURAM NEW DELHI-22 R.K. PURAM New Delhi
CAR CARE,28.666963,77.09199,9899123771,OUTER RING ROAD ROAD NO.26 PACHIM VIHAR DELHI
CHANAKYAPURI SERVICE STATION,28.622736,77.095593,9811044233,JANAKPURI OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE NEW DELHI
CITI FUELS,28.71625,77.117604,9810218885,PLOT NO. 1-A-3 DISTT CENTRE-I SECTOR-10 ROHINI DELHI - 110085
CITY AUTO,16.101259,80.169035,9440264771,CHILAKALURIPET lock T2- 231/2 DNO:189 ANDHRA PRADESH
JANATHA FILLING STN (C'PET),17.636652,82.89715,8857242701,285/1 285/2 285/5 UGGINIPALEM (V KASIMKOTA (M) TALLAPALEM 531048 ANDHRA PRADESH
GVK Fuel Station,16.51661,80.641551,8106352502,INDIAN OIL DELEARS NIDAMANUR lock T1-50/1/2/3/4 D.NO:18 ANDHRA PRADESH
KDLOMACS (NDMNR),19.160061,72.858471,022-22661814,INDIAN OIL DEALERS SURVEY NO: 589(A) VILLAGE PAHADI GOREGAON(W)
FORT MOTOR EQUIPMENT CO,28.727378,77.142789,9811314040,SEC 19 ROHINI NEW DELHI. LOCK CODE - I - 374
FORTUNE SERVICE STATION - ROHINI,16.797456,81.595662,9441554665,INDIAN OIL DEALERS ALAMPURAM LOCK NO. 22031 / 544 ANDHRA PRADESH
G.S.R.FILLING STATION,28.57917,77.055404,9810440007,SECTOR 10 DWARKA NEW DELHI DELHI
GANGA PETRO,28.703433,77.181085,9810154076,GT KARNAL ROAD INDL.AREA AZADPURDELHI TELE.7139349 Opp. Hans Cinema
GAY SERVICE STATION,17.358621,82.540871,9848190362,INDIAN OIL DEALERS VELAMKOTHURU ANDHRA PRADESH
PALURI VENKATARAMANA,29.2362337,77.7236943,9761582200,KHASRA NO 142 VILLAGE BHAYANGI Block Khatauli
GURU GOBIND SINGH SERVICE STN,28.591123,77.037605,9811057170,SECTOR 12 DWARKA NEW DELHI NEW DELHI
GURU SERVICE STATION,21.2708,72.8465,9879382228,INDIAN OIL DEALER SURVEY NO.978-979B. NO 926 Variav- Surat City
GURUASHISH PETROLEUM,17.68395585,83.19008374,9989881731,NH.5 CHINNAGANTYADA-LOCK NO.T1 78 GAJUWAKA ANDHRA PRADESH
HANUMAN PETROLEUMS,28.578699,77.059527,8826886999,SECTOR-9 OPP. NHAI OFFICE DWARKA NEW DELHI. LOCK NO 330
HUNDRED PERCENT,19.102837,72.873855,9821054977,IOC DEALERS SAHAR MUMBAI.
I CARPORT,27.876553,78.075668,9872260043,ASHIANA COLONYNEAR POLICE STATION BANGLA BAZAR LUCKNOW
INDRA AUTOMOBILES,28.587063,77.241387,9.20E+11,JUNG PURA NEW DELHI LINK ROAD NEW DELHI
IOC COCO JUNGPURA,26.257044,85.186795,9931623672,INDIAN OIL RETAIL OUTLET AT: RATANPURA PO+PS:MOTIPUR DIST: MUZAFFARPUR
JAI BABA GARIBNATH FUEL CENTRE,19.044839,72.916371,9821052147,SION TROMBAY ROAD OPP. TELECOM FACTORY DEONAR MUMBAI.
JOAQUIM PETROLEUM,11.652495,78.131729,9843052252,INDIANOIL DEALER NO.449 NARASHIMMAN STREET SHEVAPET
K.M.B. FUELS AND OILS,24.79678,85.53927,9.19E+11,INDIAN OIL RETAIL OUTLET AT-MAKHAR ANCHAL- AKBARPUR DIST-NAWADA
KAPIL DEV AUTOMOBILES,28.62495,77.30533333,9212155886,EAST OF VINOD NAGAR lok no 336 PATPARGANJSOCIETY AREA DELHI- LOCK ID NO. I 336
KAPUR AUTO SERVICE STATION,23.2426,77.2451,9.19E+11,INDIAN OIL DEALER VILLAGE KHAJURI BHOPAL INDORE RD BHOPAL (RTD-FDZ)
KHAJURI HIGHWAY SER.STN.,23.499449,91.339464,9436133836,P.O.- MELAGHAR WEST TRIPURA SIPAHIJALA
KIRON PETROLEUM AGENCY (MELAGHAR),10.091487,76.345389,9447498230,INDIAN OIL DEALER N.H-47 ALWAYE ERNAKULAM DISTRICT
M.A.MOOPAN AND BROTHERS,19.30219,77.26578,9890062630,GUT NO 19 VILLAGE MALEGAON TALUKA ARDHAPUR Distrcit Nanded
M/S SHRI SAI SERVO CARE,18.758936,73.828704,9822064488,Survey No.251/1(part) SH No.55 KharabwadiChakan TAL KHED DIST-PUNE
MAHADEVI PETROL DEPOT,28.6618,77.30036667,9899940004,CBD SHAHDARA NEAR SURAJMAL PARK CBD SHANDRA NEAR SURAJ MALL PARK DELHI.
MAHENDRA,27.610919,74.792832,9982066905,INDIAN OIL PETROL PUMP VILLAGE KUMASJAGIR State Highway 20
MARUDHAR FILLING STATION,16.230502,80.509817,8985298243,INDIAN OIL PETROL PUMP 4-124 GUNTUR PONNUR ROAD NARAKODURU VIL GUNTUR DISTRICT
MUNEER PETROLEUM,23.802019,91.272901,9436503298,NH-44 BADHARGHAT TRIPURA (WEST) BADARGHAT
N. G. SAHA,27.2111815,78.0030202,9760048161,NEAR TULSI CINEMA AGRA AGRA - 282 002 (U.P.)
NEW AGRA SERVICE STATION,17.373876,82.586522,9848026734,NAMAVARAM VILLAGE PLOT NO.120 PAYAKARAOPET MANDAL LOCK NO.T1 42 ANDHRA PRADESH
SREE DEVI PRASAD SERVICES,17.732397,83.317739,9848503187,Indian Oil Dealers-LOCK NO.T1 71 Resapuvanipalem ANDHRA PRADESH
SIVAJYOTHI ENTERPRISES,28.531431,77.062644,9891050302,"""VILLAGE BIJWASAN"" KAPASHERA - BIJWASAN ROAD ND DELHI"
PARAS AUTOMOBILES,18.790611,73.299609,9820954554,MUMBAI-PUNE EXPRESSWAY SANJGAON TALUKA KHALAPUR DISTT.RAIGAD.
PRAKASH EXPRESSWAY FILLING STATION,28.583255,77.191744,9811080862,OPP. CHANAKYA CINEME YASHWANT PLACE NEW DELHI
R K SERVICE STATION,26.16905,85.3601,8877774610,INDIAN OIL RETIAL OUTLET AT:KOLHUA PAIGAMBARPUR P.S:AHIYAPURBLOCK:KANTI
RAJ AUTOMOBILE,28.52475,77.101001,9599414443,NATIONAL HIGHWAY NO.8SAMALKHA N DELHI. LOCK NO 349
RAJASTHAN RAJPATH FILLING STATION,28.541034,77.153783,9818369369,VASANT KUNJ OPP GRAND HYATT NEW DELHI
RAM MURTEE FUELS,12.7135,77.7052,8792216876,INDIAN OIL DEALERS SY.NO.72/6HALDENAHALI VILLAGE ANENKAL TALUK BANGALORE
