id,product,city,latitude,longitude,price
1,Petrol,S.GUDUR,14.812,78.041,103.36
2,Diesel,S.GUDUR,14.812,78.041,89.35
3,Petrol,PAMIDI,14.959,77.596,102.68
4,Diesel,PAMIDI,14.959,77.596,88.93
5,Petrol,SETTUR,14.458,76.981,102.68
6,Diesel,SETTUR,14.458,76.981,88.93
7,Petrol,SINGANAMALA VILLAGE,14.796,77.709,102.14
8,Diesel,SINGANAMALA VILLAGE,14.796,77.709,88.43
9,Petrol,ATMAKURU,14.643,77.361,102.69
10,Diesel,ATMAKURU,14.643,77.361,88.94
11,Petrol,TADAPATRI,14.909,77.992,101.5
12,Diesel,TADAPATRI,14.909,77.992,87.83
13,Petrol,TADIPATRI,14.93,77.993,102.69
14,Diesel,TADIPATRI,14.93,77.993,88.94
15,Petrol,TADIPATRI ANANTAPUR,14.902,77.976,103.74
16,Diesel,TADIPATRI ANANTAPUR,14.902,77.976,89.63
17,Petrol,BELUGUPPA,14.716,77.126,103.74
18,Diesel,BELUGUPPA,14.716,77.126,89.62
19,Petrol,MOLKALMURU,14.698,76.816,103.74
20,Diesel,MOLKALMURU,14.698,76.816,89.57
21,Petrol,THREE KM-D'HIRE,16.542,80.581,103.74
22,Diesel,THREE KM-D'HIRE,16.542,80.581,89.62
23,Petrol,UDDEHAL,14.944,76.974,103.74
24,Diesel,UDDEHAL,14.944,76.974,89.63
25,Petrol,URAVAKONDA,14.929,77.256,103.74
26,Diesel,URAVAKONDA,14.929,77.256,89.63
27,Petrol,URAVAKONDA ROAD,14.692,77.57,102.55
28,Diesel,URAVAKONDA ROAD,14.692,77.57,88.52
29,Petrol,VAJRAKARU,15.035,77.384,103.75
30,Diesel,VAJRAKARU,15.035,77.384,89.64
31,Petrol,VAJRAKARUR,15.026,77.389,103.75
32,Diesel,VAJRAKARUR,15.026,77.389,89.63
33,Petrol,VENKATAMPALLY,15.016,77.989,103.75
34,Diesel,VENKATAMPALLY,15.016,77.989,89.63
35,Petrol,VIDAPANAKAL,15.048,77.19,103.75
36,Diesel,VIDAPANAKAL,15.048,77.19,89.63
37,Petrol,YADIKI,15.05,77.821,103.75
38,Diesel,YADIKI,15.05,77.821,89.61
39,Petrol,YELLANURU,14.705,78.063,103.75
40,Diesel,YELLANURU,14.705,78.063,89.63
41,Petrol,Bogasamudram Anantapur,15.001,78.017,99.6
42,Diesel,Bogasamudram Anantapur,15.001,78.017,85.44
43,Petrol,BOMMANAHAL,15.01,76.974,99.6
44,Diesel,BOMMANAHAL,15.01,76.974,85.45
45,Petrol,BRHAMASUMUDRAM,14.539,76.949,99.6
46,Diesel,BRHAMASUMUDRAM,14.539,76.949,85.45
47,Petrol,BUGGA,14.998,78.016,99.6
48,Diesel,BUGGA,14.998,78.016,85.42
49,Petrol,CHINTAKAYAMANDA,14.624,78.001,99.61
50,Diesel,CHINTAKAYAMANDA,14.624,78.001,85.43
51,Petrol,D'Hirelal Anantapur Dis,14.991,76.834,99.61
52,Diesel,D'Hirelal Anantapur Dis,14.991,76.834,85.47
53,Petrol,PEDDAPAPPUR,14.93,77.861,99.61
54,Diesel,PEDDAPAPPUR,14.93,77.861,85.46
55,Petrol,DONEKAL,15.134,77.182,99.62
56,Diesel,DONEKAL,15.134,77.182,85.46
57,Petrol,PEDDAVADUGURU,15.019,77.669,99.62
58,Diesel,PEDDAVADUGURU,15.019,77.669,85.46
59,Petrol,ALAMURU,14.642,77.55,99.32
60,Diesel,ALAMURU,14.642,77.55,87.86
61,Petrol,GARLADINNE,14.818,77.598,99.32
62,Diesel,GARLADINNE,14.818,77.598,87.86
63,Petrol,GOOTY,15.075,77.631,99.32
64,Diesel,GOOTY,15.075,77.631,87.86
65,Petrol,GOOTY ROAD,14.699,77.607,99.32
66,Diesel,GOOTY ROAD,14.699,77.607,87.86
67,Petrol,NARPALA,14.711,77.813,99.32
68,Diesel,NARPALA,14.711,77.813,87.86
69,Petrol,MULAKALEDU,14.367,76.925,99.32
70,Diesel,MULAKALEDU,14.367,76.925,87.86
71,Petrol,GUMMAGATTA,14.562,76.862,99.33
72,Diesel,GUMMAGATTA,14.562,76.862,87.87
73,Petrol,GUNTAKAL,15.159,77.419,99.33
74,Diesel,GUNTAKAL,15.159,77.419,87.87
75,Petrol,NAYANAPALLI,14.797,77.8,99.34
76,Diesel,NAYANAPALLI,14.797,77.8,87.87
77,Petrol,HAMPAPURAM,14.591,77.612,99.34
78,Diesel,HAMPAPURAM,14.591,77.612,87.67
79,Petrol,HANUMAN CIRCLE,15.146,77.377,98.28
80,Diesel,HANUMAN CIRCLE,15.146,77.377,86.9
81,Petrol,HIREDAHAL VLG,14.995,76.868,98.51
82,Diesel,HIREDAHAL VLG,14.995,76.868,87.1
83,Petrol,HUSSENAPURAM,14.877,78.054,99.35
84,Diesel,HUSSENAPURAM,14.877,78.054,87.88
85,Petrol,IPPERU VILLAGE,14.771,77.38,99.35
86,Diesel,IPPERU VILLAGE,14.771,77.38,87.88
87,Petrol,KALLUR ANANTAPUR,14.905,77.584,99.35
88,Diesel,KALLUR ANANTAPUR,14.905,77.584,87.88
89,Petrol,KALUVAPALLI,14.627,77.277,99.85
90,Diesel,KALUVAPALLI,14.627,77.277,84.89
91,Petrol,KALYAM VILLAGE,14.805,76.854,99.85
92,Diesel,KALYAM VILLAGE,14.805,76.854,84.89
93,Petrol,KALYANADURG,14.546,77.111,99.85
94,Diesel,KALYANADURG,14.546,77.111,84.89
95,Petrol,KALYANDURG,14.567,77.104,99.85
96,Diesel,KALYANDURG,14.567,77.104,84.89
97,Petrol,KALYANDURGA,14.553,77.113,99.85
98,Diesel,KALYANDURGA,14.553,77.113,84.89
99,Petrol,KAMBADDUR ANANTAPUR,14.337,77.233,99.15
100,Diesel,KAMBADDUR ANANTAPUR,14.337,77.233,84.23
101,Petrol,Kambadur,14.332,77.237,99.15
102,Diesel,Kambadur,14.332,77.237,84.23
103,Petrol,KANEKAL,14.792,77.008,99.17
104,Diesel,KANEKAL,14.792,77.008,84.25
105,Petrol,KANEKKAL,14.804,77.04,99.86
106,Diesel,KANEKKAL,14.804,77.04,84.9
107,Petrol,ANANTAPUR,14.671,77.609,99.86
108,Diesel,ANANTAPUR,14.671,77.609,84.9
109,Petrol,KARADIKONDA,15.164,77.676,99.86
110,Diesel,KARADIKONDA,15.164,77.676,84.9
111,Petrol,AnantapurAnantapur,14.723,77.604,99.27
112,Diesel,AnantapurAnantapur,14.723,77.604,84.34
113,Petrol,NIMBAGAL,14.885,77.205,98.6
114,Diesel,NIMBAGAL,14.885,77.205,83.73
115,Petrol,ANANTHAPUR,14.949,77.562,98.6
116,Diesel,ANANTHAPUR,14.949,77.562,83.73
117,Petrol,ATP - TPT ROAD,14.644,77.619,102.52
118,Diesel,ATP - TPT ROAD,14.644,77.619,88.78
119,Petrol,ANATAPUR BYPASS,14.678,77.582,102.78
120,Diesel,ANATAPUR BYPASS,14.678,77.582,89.02
121,Petrol,KONDAPURAM VLG,14.86,77.907,102.78
122,Diesel,KONDAPURAM VLG,14.86,77.907,89.03
123,Petrol,OBLAPURAM,15.046,76.866,101.73
124,Diesel,OBLAPURAM,15.046,76.866,88.05
125,Petrol,OBULAPURAM,14.957,76.828,102.49
126,Diesel,OBULAPURAM,14.957,76.828,88.75
127,Petrol,KRISHTAPADU,15.071,77.791,102.5
128,Diesel,KRISHTAPADU,15.071,77.791,88.76
129,Petrol,KUCHIVARIPALLI,14.674,77.97,102.79
130,Diesel,KUCHIVARIPALLI,14.674,77.97,89.02
131,Petrol,KUDERU,14.731,77.422,102.79
132,Diesel,KUDERU,14.731,77.422,89.02
133,Petrol,KUNDURPI,14.293,77.042,102.79
134,Diesel,KUNDURPI,14.293,77.042,88.97
135,Petrol,LINGAMANAHALLI,14.958,76.83,102.79
136,Diesel,LINGAMANAHALLI,14.958,76.83,88.97
137,Petrol,LOLUR,14.816,77.582,102.79
138,Diesel,LOLUR,14.816,77.582,88.97
139,Petrol,RAYADURG,14.694,76.86,102.79
140,Diesel,RAYADURG,14.694,76.86,88.9
141,Petrol,RAYALACHERUVU,15.065,77.801,103.84
142,Diesel,RAYALACHERUVU,15.065,77.801,89.73
143,Petrol,MARUR,14.487,77.632,103.84
144,Diesel,MARUR,14.487,77.632,89.66
145,Petrol,PADAMATIYALERU VILLAGE,14.682,77.36,103.84
146,Diesel,PADAMATIYALERU VILLAGE,14.682,77.36,89.66
147,Petrol,SUNDUPALLI,13.975,78.912,103.84
148,Diesel,SUNDUPALLI,13.975,78.912,89.71
149,Petrol,T SADUM,13.669,78.078,103.84
150,Diesel,T SADUM,13.669,78.078,89.69
151,Petrol,THAMBALLAPALLI,13.819,78.448,103.84
152,Diesel,THAMBALLAPALLI,13.819,78.448,89.73
153,Petrol,Veeraballi,14.15,78.855,103.84
154,Diesel,Veeraballi,14.15,78.855,89.71
155,Petrol,ABBAVARAM,14.059,78.782,103.84
156,Diesel,ABBAVARAM,14.059,78.782,89.73
157,Petrol,BURAKALAYAKOTA,13.751,78.319,103.84
158,Diesel,BURAKALAYAKOTA,13.751,78.319,89.73
159,Petrol,CHINNAMANDYAM,13.934,78.682,103.84
160,Diesel,CHINNAMANDYAM,13.934,78.682,89.51
161,Petrol,CHINTAPARTI,13.642,78.696,103.84
162,Diesel,CHINTAPARTI,13.642,78.696,89.71
163,Petrol,CTM ROAD,13.615,78.541,103.84
164,Diesel,CTM ROAD,13.615,78.541,89.73
165,Petrol,PEDDAMANDYAM,13.927,78.526,103.05
166,Diesel,PEDDAMANDYAM,13.927,78.526,88.98
167,Petrol,DOODIPALLI,13.629,78.964,99.72
168,Diesel,DOODIPALLI,13.629,78.964,85.42
169,Petrol,GALIVEEDU,14.03,78.515,99.72
170,Diesel,GALIVEEDU,14.03,78.515,85.55
171,Petrol,B.KOTHAKOTA,13.671,78.427,99.39
