id,product,city,latitude,longitude,price,location
41402,Diesel,BANKURA,23.145025,86.844101,92.3,0101000020E6100000566133C005B65540371AC05B20253740
1,Petrol,HAMREN,25.844735,92.572178,99.7,0101000020E6100000675F79909E2457405CC98E8D40D83940
2,Diesel,HAMREN,25.844735,92.572178,90.91,0101000020E6100000675F79909E2457405CC98E8D40D83940
3,Petrol,DABOKA,26.115114,92.863317,99.06,0101000020E61000002C45F29540375740CE4F711C781D3A40
4,Diesel,DABOKA,26.115114,92.863317,90.29,0101000020E61000002C45F29540375740CE4F711C781D3A40
5,Petrol,LANKA,25.93501,92.954052,98.92,0101000020E6100000BDAB1E300F3D5740D66EBBD05CEF3940
6,Diesel,LANKA,25.93501,92.954052,90.16,0101000020E6100000BDAB1E300F3D5740D66EBBD05CEF3940
7,Petrol,NOONMATI,26.18158,91.803348,98.19,0101000020E6100000A6D3BA0D6AF35640919BE1067C2E3A40
8,Diesel,NOONMATI,26.18158,91.803348,89.42,0101000020E6100000A6D3BA0D6AF35640919BE1067C2E3A40
9,Petrol,BIJAYNAGAR,26.103143,91.509632,98.33,0101000020E6100000AF3F89CF9DE05640B3CF6394671A3A40
10,Diesel,BIJAYNAGAR,26.103143,91.509632,89.56,0101000020E6100000AF3F89CF9DE05640B3CF6394671A3A40
11,Petrol,TIHU,26.345591,91.712577,98.94,0101000020E61000006FB88FDC9AED5640BCCADAA678583A40
12,Diesel,TIHU,26.345591,91.712577,90.14,0101000020E61000006FB88FDC9AED5640BCCADAA678583A40
13,Petrol,GUWAHATI,26.185541,91.753976,98.19,0101000020E6100000027E8D2441F0564030116F9D7F2F3A40
14,Diesel,GUWAHATI,26.185541,91.753976,89.42,0101000020E6100000027E8D2441F0564030116F9D7F2F3A40
15,Petrol,MOIRABARI,26.45433,92.428296,99.53,0101000020E61000007D40A033691B574078978BF84E743A40
16,Diesel,MOIRABARI,26.45433,92.428296,90.72,0101000020E61000007D40A033691B574078978BF84E743A40
17,Petrol,TANGLA,26.651824,91.91193,98.93,0101000020E6100000718FA50F5DFA564077BF0AF0DDA63A40
18,Diesel,TANGLA,26.651824,91.91193,90.13,0101000020E6100000718FA50F5DFA564077BF0AF0DDA63A40
19,Petrol,DUDHNOI,25.983438,90.778331,99.06,0101000020E6100000A19DD32CD0B15640C6A4BF97C2FB3940
20,Diesel,DUDHNOI,25.983438,90.778331,90.26,0101000020E6100000A19DD32CD0B15640C6A4BF97C2FB3940
21,Petrol,CHAYAGAON,26.042664,91.368013,98.46,0101000020E61000002FE065868DD756406FB72407EC0A3A40
22,Diesel,CHAYAGAON,26.042664,91.368013,89.68,0101000020E61000002FE065868DD756406FB72407EC0A3A40
23,Petrol,GOALPARA,26.164632,90.625593,98.67,0101000020E6100000D1E638B709A8564005E09F52252A3A40
24,Diesel,GOALPARA,26.164632,90.625593,89.89,0101000020E6100000D1E638B709A8564005E09F52252A3A40
25,Petrol,KHETRI,26.115602,92.054691,98.39,0101000020E6100000AD18AE0E80035740295AB917981D3A40
26,Diesel,KHETRI,26.115602,92.054691,89.61,0101000020E6100000AD18AE0E80035740295AB917981D3A40
27,Petrol,SONTALA,26.089733,91.558489,98.24,0101000020E61000003F8BA548BEE35640395FECBDF8163A40
28,Diesel,SONTALA,26.089733,91.558489,89.46,0101000020E61000003F8BA548BEE35640395FECBDF8163A40
29,Petrol,GUWAHATI,26.184989,91.76035,98.19,0101000020E6100000DFE00B93A9F05640A81E69705B2F3A40
30,Diesel,GUWAHATI,26.184989,91.76035,89.42,0101000020E6100000DFE00B93A9F05640A81E69705B2F3A40
31,Petrol,NAGAON,26.355264,92.692842,99.49,0101000020E6100000E5D2F885572C57403672DD94F25A3A40
32,Diesel,NAGAON,26.355264,92.692842,90.68,0101000020E6100000E5D2F885572C57403672DD94F25A3A40
33,Petrol,HAIBORGAON,26.340323,92.66652,99.35,0101000020E610000051888043A82A57409D137B681F573A40
34,Diesel,HAIBORGAON,26.340323,92.66652,90.55,0101000020E610000051888043A82A57409D137B681F573A40
35,Petrol,DHARAPUR,26.137563,91.633102,98.19,0101000020E61000000F4240BE84E85640C0232A5437233A40
36,Diesel,DHARAPUR,26.137563,91.633102,89.42,0101000020E61000000F4240BE84E85640C0232A5437233A40
37,Petrol,PALASBARI,26.09218,91.543022,98.32,0101000020E61000008BC058DFC0E256406458C51B99173A40
38,Diesel,PALASBARI,26.09218,91.543022,89.55,0101000020E61000008BC058DFC0E256406458C51B99173A40
39,Petrol,BELTOLA,26.112708,91.798796,98.19,0101000020E61000003D0B42791FF3564061FF756EDA1C3A40
40,Diesel,BELTOLA,26.112708,91.798796,89.42,0101000020E61000003D0B42791FF3564061FF756EDA1C3A40
41,Petrol,GUWAHATI,26.151078,91.784213,98.19,0101000020E61000004606B98B30F2564024253D0CAD263A40
42,Diesel,GUWAHATI,26.151078,91.784213,89.42,0101000020E61000004606B98B30F2564024253D0CAD263A40
43,Petrol,DISPUR,26.155626,91.778526,98.19,0101000020E61000007C45B75ED3F156404568041BD7273A40
44,Diesel,DISPUR,26.155626,91.778526,89.42,0101000020E61000007C45B75ED3F156404568041BD7273A40
45,Petrol,PUB BORAGAON,26.118752,91.696639,98.19,0101000020E61000009087BEBB95EC5640A855F487661E3A40
46,Diesel,PUB BORAGAON,26.118752,91.696639,89.42,0101000020E61000009087BEBB95EC5640A855F487661E3A40
47,Petrol,AMINGAON,26.201679,91.674089,98.19,0101000020E6100000F965304624EB56403C4A253CA1333A40
48,Diesel,AMINGAON,26.201679,91.674089,89.42,0101000020E6100000F965304624EB56403C4A253CA1333A40
49,Petrol,JAGIROAD,26.112572,92.178314,98.79,0101000020E6100000D09A1F7F690B57400072C284D11C3A40
50,Diesel,JAGIROAD,26.112572,92.178314,90,0101000020E6100000D09A1F7F690B57400072C284D11C3A40
51,Petrol,BOKO,25.991178,91.256615,98.75,0101000020E61000006F2A52616CD05640C38366D7BDFD3940
52,Diesel,BOKO,25.991178,91.256615,89.96,0101000020E61000006F2A52616CD05640C38366D7BDFD3940
53,Petrol,GUWAHATI,26.177027,91.754106,98.19,0101000020E6100000E9EDCF4543F056404D8237A4512D3A40
54,Diesel,GUWAHATI,26.177027,91.754106,89.42,0101000020E6100000E9EDCF4543F056404D8237A4512D3A40
55,Petrol,JAGIROAD,26.123459,92.214926,98.79,0101000020E6100000D943FB58C10D574099654F029B1F3A40
56,Diesel,JAGIROAD,26.123459,92.214926,90,0101000020E6100000D943FB58C10D574099654F029B1F3A40
57,Petrol,RANGIYA,26.407488,91.633114,98.52,0101000020E6100000F22895F084E856403083312251683A40
58,Diesel,RANGIYA,26.407488,91.633114,89.74,0101000020E6100000F22895F084E856403083312251683A40
59,Petrol,SARTHEBARI,26.3601,91.2233,98.72,0101000020E6100000984C158C4ACE5640234A7B832F5C3A40
60,Diesel,SARTHEBARI,26.3601,91.2233,89.93,0101000020E6100000984C158C4ACE5640234A7B832F5C3A40
61,Petrol,GOSSAIGAON,26.447345,89.981922,98.77,0101000020E6100000444E5FCFD77E56407407B13385723A40
62,Diesel,GOSSAIGAON,26.447345,89.981922,89.98,0101000020E6100000444E5FCFD77E56407407B13385723A40
63,Petrol,CHAPAGURI,26.500558,90.558603,98.17,0101000020E6100000A41CCC26C0A356404DC0AF9124803A40
64,Diesel,CHAPAGURI,26.500558,90.558603,89.39,0101000020E6100000A41CCC26C0A356404DC0AF9124803A40
65,Petrol,CHAGOLIA,26.307876,89.764664,99.6,0101000020E61000006D1B4641F07056402A3927F6D04E3A40
66,Diesel,CHAGOLIA,26.307876,89.764664,90.79,0101000020E61000006D1B4641F07056402A3927F6D04E3A40
67,Petrol,DHUBRI,26.04091,89.968597,99.25,0101000020E61000003D80457EFD7D56405114E813790A3A40
68,Diesel,DHUBRI,26.04091,89.968597,90.44,0101000020E61000003D80457EFD7D56405114E813790A3A40
69,Petrol,GAURIPUR,26.080687,89.965451,99.18,0101000020E6100000FEB8FDF2C97D56405D363AE7A7143A40
70,Diesel,GAURIPUR,26.080687,89.965451,90.38,0101000020E6100000FEB8FDF2C97D56405D363AE7A7143A40
71,Petrol,DHALIGAON,26.504192,90.549923,98.17,0101000020E61000005E143DF031A35640A3E716BA12813A40
72,Diesel,DHALIGAON,26.504192,90.549923,89.39,0101000020E61000005E143DF031A35640A3E716BA12813A40
73,Petrol,GAURIPUR,26.090111,89.968483,99.18,0101000020E6100000D9EE1EA0FB7D56408602B68311173A40
74,Diesel,GAURIPUR,26.090111,89.968483,90.38,0101000020E6100000D9EE1EA0FB7D56408602B68311173A40
41403,Petrol,GAIGHATA,22.930182,88.73629,105.49,0101000020E6100000CC9717601F2F5640EF53556820EE3640
41404,Diesel,GAIGHATA,22.930182,88.73629,92.26,0101000020E6100000CC9717601F2F5640EF53556820EE3640
41405,Petrol,BANKURA,23.17116,87.529297,105.45,0101000020E6100000BD378600E0E1554024624A24D12B3740
41406,Diesel,BANKURA,23.17116,87.529297,92.24,0101000020E6100000BD378600E0E1554024624A24D12B3740
41407,Petrol,CHAKDOLA,23.679735,87.158699,105.06,0101000020E61000001BBAD91F28CA554052F2EA1C03AE3740
41408,Diesel,CHAKDOLA,23.679735,87.158699,91.87,0101000020E61000001BBAD91F28CA554052F2EA1C03AE3740
41409,Petrol,DEBRA,22.391752,87.589661,105.04,0101000020E610000082AE7D01BDE555408124ECDB49643640
41410,Diesel,DEBRA,22.391752,87.589661,91.81,0101000020E610000082AE7D01BDE555408124ECDB49643640
41411,Petrol,EGRA,21.785901,87.541973,105.4,0101000020E6100000299485AFAFE25540C9E4D4CE30C93540
41412,Diesel,EGRA,21.785901,87.541973,92.14,0101000020E6100000299485AFAFE25540C9E4D4CE30C93540
41413,Petrol,BURDWAN,23.001711,87.901693,105.54,0101000020E61000000E828E56B5F95540200BD12170003740
41414,Diesel,BURDWAN,23.001711,87.901693,92.31,0101000020E61000000E828E56B5F95540200BD12170003740
41415,Petrol,SILIGURI,26.7412,88.4546,104.71,0101000020E6100000BE30992A181D564092CB7F48BFBD3A40
41416,Diesel,SILIGURI,26.7412,88.4546,91.53,0101000020E6100000BE30992A181D564092CB7F48BFBD3A40
41417,Petrol,NACHANKULA,26.2501,88.2489,105.35,0101000020E61000005DFE43FAED0F5640C7BAB88D06403A40
41418,Diesel,NACHANKULA,26.2501,88.2489,92.13,0101000020E61000005DFE43FAED0F5640C7BAB88D06403A40
41419,Petrol,CHANDRAKONA,22.797495,87.638124,105.47,0101000020E6100000BCB20B06D7E8554039B9DFA128CC3640
41420,Diesel,CHANDRAKONA,22.797495,87.638124,92.21,0101000020E6100000BCB20B06D7E8554039B9DFA128CC3640
41421,Petrol,GURAP,23.011147,88.051254,105.45,0101000020E61000008272DBBE47035640D272A087DA023740
41422,Diesel,GURAP,23.011147,88.051254,92.23,0101000020E61000008272DBBE47035640D272A087DA023740
41423,Petrol,JAMALDAH,26.414162,89.08943,105.45,0101000020E610000000529B38B9455640F73E5585066A3A40
41424,Diesel,JAMALDAH,26.414162,89.08943,92.22,0101000020E610000000529B38B9455640F73E5585066A3A40
41425,Petrol,KUSHIDA,25.532663,87.949074,105.44,0101000020E6100000F8DEDFA0BDFC55400CCA349A5C883940
41426,Diesel,KUSHIDA,25.532663,87.949074,92.22,0101000020E6100000F8DEDFA0BDFC55400CCA349A5C883940
41427,Petrol,BHOTEPATTI,26.468,88.8626,105.22,0101000020E6100000E561A1D6343756402B8716D9CE773A40
41428,Diesel,BHOTEPATTI,26.468,88.8626,92.01,0101000020E6100000E561A1D6343756402B8716D9CE773A40
41429,Petrol,GHORAMORE,26.664155,88.471871,104.71,0101000020E6100000923B6C22331E56409279E40F06AA3A40
41430,Diesel,GHORAMORE,26.664155,88.471871,91.53,0101000020E6100000923B6C22331E56409279E40F06AA3A40
41431,Petrol,SONAPURHAT,26.4455,88.2565,105.04,0101000020E610000023DBF97E6A105640355EBA490C723A40
41432,Diesel,SONAPURHAT,26.4455,88.2565,91.84,0101000020E610000023DBF97E6A105640355EBA490C723A40
41433,Petrol,JAMURIA,23.682933,87.088875,105.08,0101000020E6100000A69BC420B0C55540F25B74B2D4AE3740
41434,Diesel,JAMURIA,23.682933,87.088875,91.89,0101000020E6100000A69BC420B0C55540F25B74B2D4AE3740
41435,Petrol,GOPIGANJ,22.56732,87.818092,105.21,0101000020E6100000A1478C9E5BF45540E15D2EE23B913640
41436,Diesel,GOPIGANJ,22.56732,87.818092,91.97,0101000020E6100000A1478C9E5BF45540E15D2EE23B913640
41437,Petrol,RAJARHAT,22.57763872,88.46206695,105.01,0101000020E6100000FFB34181921D5640A54D9321E0933640
41438,Diesel,RAJARHAT,22.57763872,88.46206695,91.82,0101000020E6100000FFB34181921D5640A54D9321E0933640
41439,Petrol,KESHPUR,22.474305,87.518207,105.64,0101000020E6100000BB63B14D2AE155404C546F0D6C793640
41440,Diesel,KESHPUR,22.474305,87.518207,92.38,0101000020E6100000BB63B14D2AE155404C546F0D6C793640
41441,Petrol,BAHADURPUR,24.3163,87.7971,105.96,0101000020E610000010E9B7AF03F355408CB96B09F9503840
41442,Diesel,BAHADURPUR,24.3163,87.7971,92.7,0101000020E610000010E9B7AF03F355408CB96B09F9503840
41443,Petrol,BURDWAN,23.270481,87.875549,105.25,0101000020E6100000EA42ACFE08F855407B30293E3E453740
41444,Diesel,BURDWAN,23.270481,87.875549,92.04,0101000020E6100000EA42ACFE08F855407B30293E3E453740
41445,Petrol,MURSHIDABAD,23.942398,88.042015,105.92,0101000020E610000041BCAE5FB0025640D9D0CDFE40F13740
41446,Diesel,MURSHIDABAD,23.942398,88.042015,92.67,0101000020E610000041BCAE5FB0025640D9D0CDFE40F13740
41447,Petrol,MURSHIDABAD,23.872051,88.187723,106.26,0101000020E6100000406D54A7030C5640B071FDBB3EDF3740
41448,Diesel,MURSHIDABAD,23.872051,88.187723,92.98,0101000020E6100000406D54A7030C5640B071FDBB3EDF3740
41449,Petrol,RAIDIGHI,21.992453,88.451347,105.51,0101000020E6100000740987DEE21C56402DD1596611FE3540
41450,Diesel,RAIDIGHI,21.992453,88.451347,92.28,0101000020E6100000740987DEE21C56402DD1596611FE3540
41451,Petrol,CHANDIRPATH,26.2736043023,89.7119588466,106.31,0101000020E6100000AC8FD6BB906D5640646C7AEE0A463A40
41452,Diesel,CHANDIRPATH,26.2736043023,89.7119588466,93.13,0101000020E6100000AC8FD6BB906D5640646C7AEE0A463A40
41453,Petrol,BAGDAH,23.217417,88.739937,105.99,0101000020E61000006C06B8205B2F56402D98F8A3A8373740
41454,Diesel,BAGDAH,23.217417,88.739937,92.73,0101000020E61000006C06B8205B2F56402D98F8A3A8373740
41455,Petrol,KRISHNAGAR,23.4114,88.5213,106.08,0101000020E6100000E8D9ACFA5C2156400C93A98251693740
41456,Diesel,KRISHNAGAR,23.4114,88.5213,92.81,0101000020E6100000E8D9ACFA5C2156400C93A98251693740
41457,Petrol,DAUKIMARI,26.6814,88.915,105.41,0101000020E6100000C3F5285C8F3A5640917EFB3A70AE3A40
41458,Diesel,DAUKIMARI,26.6814,88.915,92.19,0101000020E6100000C3F5285C8F3A5640917EFB3A70AE3A40
41459,Petrol,DHOLA,22.02625685,88.30217587,105.45,0101000020E610000095D275D956135640C50BD8C4B8063640
41460,Diesel,DHOLA,22.02625685,88.30217587,92.23,0101000020E610000095D275D956135640C50BD8C4B8063640
41461,Petrol,BANESWAR,26.4064050978,89.4996839244,106.14,0101000020E6100000A36848D2FA5F56408BFA1B2A0A683A40
41462,Diesel,BANESWAR,26.4064050978,89.4996839244,92.87,0101000020E6100000A36848D2FA5F56408BFA1B2A0A683A40
41463,Petrol,GAZOLE,25.23077,88.174446,104.9,0101000020E6100000C13A8E1F2A0B5640DEE522BE133B3940
41464,Diesel,GAZOLE,25.23077,88.174446,91.72,0101000020E6100000C13A8E1F2A0B5640DEE522BE133B3940
41465,Petrol,JALPAIGURI,26.521577,88.720588,104.99,0101000020E6100000F778211D1E2E56408658FD1186853A40
41466,Diesel,JALPAIGURI,26.521577,88.720588,91.8,0101000020E6100000F778211D1E2E56408658FD1186853A40
41467,Petrol,FARAKKA TO MALD,24.935307,88.106621,104.79,0101000020E61000004704E3E0D20656404AB8904770EF3840
41468,Diesel,FARAKKA TO MALD,24.935307,88.106621,91.61,0101000020E61000004704E3E0D20656404AB8904770EF3840
41469,Petrol,GHUGUMARI,26.281237,89.443703,106.01,0101000020E6100000C68844A1655C5640D76CE525FF473A40
41470,Diesel,GHUGUMARI,26.281237,89.443703,92.74,0101000020E6100000C68844A1655C5640D76CE525FF473A40
41471,Petrol,ISLAMPUR,26.2393,88.1923,105.33,0101000020E610000055C1A8A44E0C5640CCEEC9C3423D3A40
41472,Diesel,ISLAMPUR,26.2393,88.1923,92.11,0101000020E610000055C1A8A44E0C5640CCEEC9C3423D3A40
41473,Petrol,BIBIPUR,22.693049,88.744349,105.47,0101000020E6100000DCF3FC69A32F56408786C5A86BB13640
41474,Diesel,BIBIPUR,22.693049,88.744349,92.25,0101000020E6100000DCF3FC69A32F56408786C5A86BB13640
41475,Petrol,HAROA,22.618737,88.681389,105.54,0101000020E6100000AAB69BE09B2B56403DD34B8C659E3640
41476,Diesel,HAROA,22.618737,88.681389,92.32,0101000020E6100000AAB69BE09B2B56403DD34B8C659E3640
41477,Petrol,CANNING,22.31476808,88.64973388,105.27,0101000020E6100000016D693D95295640BA6C11A494503640
41478,Diesel,CANNING,22.31476808,88.64973388,92.06,0101000020E6100000016D693D95295640BA6C11A494503640
41479,Petrol,BAMANPUKUR,22.5142,88.7114,105.26,0101000020E6100000F697DD93872D56406B9A779CA2833640
41480,Diesel,BAMANPUKUR,22.5142,88.7114,92.06,0101000020E6100000F697DD93872D56406B9A779CA2833640
41481,Petrol,KAMDEBKATI,22.806656,88.734412,105.49,0101000020E61000008F72309B002F5640471FF30181CE3640
41482,Diesel,KAMDEBKATI,22.806656,88.734412,92.26,0101000020E61000008F72309B002F5640471FF30181CE3640
41483,Petrol,KHARBARI,25.117409,88.066429,105,0101000020E610000062A06B5F400456408D4127840E1E3940
41484,Diesel,KHARBARI,25.117409,88.066429,91.81,0101000020E610000062A06B5F400456408D4127840E1E3940
41485,Petrol,GARUBATHAN,26.9662,88.7001,105.78,0101000020E61000007FFB3A70CE2C56402C6519E258F73A40
41486,Diesel,GARUBATHAN,26.9662,88.7001,92.53,0101000020E61000007FFB3A70CE2C56402C6519E258F73A40
41487,Petrol,KANDARAN,25.27574,87.998665,105.12,0101000020E61000003BAA9A20EAFF5540F4328AE596463940
41488,Diesel,KANDARAN,25.27574,87.998665,91.92,0101000020E61000003BAA9A20EAFF5540F4328AE596463940
41489,Petrol,DHARAMPUR,26.0936,88.0216,105.66,0101000020E6100000FE65F7E461015640D5E76A2BF6173A40
41490,Diesel,DHARAMPUR,26.0936,88.0216,92.42,0101000020E6100000FE65F7E461015640D5E76A2BF6173A40
41491,Petrol,SOUDALAPUR,24.960249,88.101189,104.79,0101000020E6100000C26D6DE1790656404704E3E0D2F53840
41492,Diesel,SOUDALAPUR,24.960249,88.101189,91.61,0101000020E6100000C26D6DE1790656404704E3E0D2F53840
41493,Petrol,KALIGANJ,23.71568204,88.23932189,106.31,0101000020E610000015B1C20C510F564073222CF036B73740
