omc,code,name,area,latitude,longitude
IOCL,195689,Gaurav Auto Care,Thane South RSA,19.33756,73.11244
IOCL,260289,Shree Sai Automobiles,Nandigam on NH48,20.2366,72.8841
IOCL,354840,COCO Firozpur 63,Firozpur Jhirkha,27.7908,77.0102
IOCL,192717,Swagat RO Unnao,unnao,26.602395,80.605489
IOCL,353841,Swagat Anakapalli,Anakapalle,17.6763376,83.0151736
IOCL,366614,COCO MELARASARADI ,Melarasaradi NH38 TUTICORIN ,8.88609,78.109
IOCL,171012,RKBK LTD. - GULAMIPUR,"NH19, GULAMIPUR. KAUSHAMBI",25.640842,81.377327
IOCL,374084,COCO SILTARA,"SILTARA, NH30, RAIPUR DISTRICT",21.3666,81.6648
IOCL,369160,COCO CHENGAPALLI,Chengapalli,11.2468,77.5209
IOCL,155403,NEW NAINI SERVICE STN.,"NH30, GOHANI, JARI BAZAR",25.161441,81.768138
IOCL,173364,Shamgarh Filling Station ,"Shamgarh,NH 44, Karnal -District",29.777786,76.960325
IOCL,368642,Swagat Coco Bilawali,on NH52 Bilawali Dewas,22.994244,76.088176
IOCL,274301,Swagat Piprakothi,Near Piprakothi Motihari,26.448021,85.400658
IOCL,155019,GYAN GANGA FILLING STATION,"HALIYA MOR,NH-135,MIRZAPUR",24.99749,82.341452
IOCL,309942,PAWAN AUTOMOBILES,NH-48,28.163093,76.685056
IOCL,241150,SWAGAT COCO MANDIRHASAUD,"CHHATAUNA, NH-6, RAIPUR DISTRICT",21.2277,81.7944
IOCL,356873,COCO Manesar,Manesar,28.342657,76.937621
IOCL,226534,Swagat maa tarini fs,KHIREITANGIRI,21.715114,85.7086352
IOCL,355684,Swagat Vallarapadam,3.5 acres,9.985013,76.248273
IOCL,338562,Swagat RO Mummigatti,Dharwad,15.5014196,74.9552517
IOCL,349138,COCO RANINAGAR,Raninagar,26.5389221,88.6398373
IOCL,155833,Sonbarsa Automobiles,Sonbarsa NH27 Gorakhpur District,26.740978,83.568936
IOCL,362564,Coco Amdi ,"Village Amdi ,on NH44",21.3595,79.242
IOCL,361743,COCO Mahuvej,"NH48, Mahuvej",21.489474,72.999821
IOCL,275986,COCO BAWAL,BAWAL,28.067904,76.550147
IOCL,173620,Kanpur Shifters Pvt Ltd,KanpurDehat,26.360678,79.675613
IOCL,298689,HUMSAFAR INDIAN OIL,NH-48,28.17426,76.705856
IOCL,362340,SWAGAT MALIYA FUELS,Maliya,23.080726,70.791733
IOCL,363331,"WSA COCO Dausa 172,LHS DME",Dausa,26.963484,76.499419
IOCL,125258,SWAGAT SHREE GANESH,Nani Chirai,23.1976,70.2283
IOCL,238887,COCO CHHATIA CASH SALES,"NH 16, JAJPUR DISTRICT",20.597263,86.051285
IOCL,108005,Poonam Service Station,Nh-48,28.310329,76.883403
IOCL,364034,Swagat Pongam,"Pongam, NH 544, Thrissur District",10.2458537,76.3704152
IOCL,105088,Shree Tirupatiji Filling Station,Dharuhera,28.16838,76.69746
IOCL,142663,ASHWANI AKHILESH YADAV FUEL POINT,NH-48,28.035488,76.50436
IOCL,358518,Swagat COCO Gumjal,Abohar RSA,29.9768719,73.9010891
